2014/06/28;13:36:58	0034.26	000.247	-000.00	0000.05	-000.10	0000.02	-000.45	0007.68	0002.87	-000.00
2014/06/28;13:36:58	0034.26	000.247	-000.00	0000.05	-000.10	0000.02	-000.45	0007.64	0003.06	-000.00
2014/06/28;13:36:59	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.45	0007.66	0003.06	-000.00
2014/06/28;13:36:59	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.58	0003.06	-000.00
2014/06/28;13:36:59	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.66	0003.10	-000.00
2014/06/28;13:36:59	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.66	0003.11	-000.00
2014/06/28;13:37:00	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.71	0003.24	-000.00
2014/06/28;13:37:00	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.71	0003.46	-000.00
2014/06/28;13:37:00	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.62	0003.59	-000.00
2014/06/28;13:37:01	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.74	0003.51	-000.00
2014/06/28;13:37:01	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.74	0003.51	-000.00
2014/06/28;13:37:01	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.45	0007.74	0003.51	-000.00
2014/06/28;13:37:02	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.69	0003.33	-000.00
2014/06/28;13:37:02	0034.26	000.248	-000.00	0000.05	-000.10	0000.01	-000.44	0007.85	0002.89	-000.00
2014/06/28;13:37:02	0034.27	000.247	-000.00	0000.05	-000.10	0000.01	-000.45	0007.77	0002.94	-000.00
2014/06/28;13:37:03	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.45	0007.73	0002.85	-000.00
2014/06/28;13:37:03	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.78	0002.78	-000.00
2014/06/28;13:37:03	0034.26	000.247	-000.00	0000.05	-000.10	0000.01	-000.44	0007.78	0002.78	-000.00
2014/06/28;13:37:04	0034.26	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.97	0002.82	-000.00
2014/06/28;13:37:04	0034.26	000.247	-000.00	0000.05	-000.10	0000.02	-000.45	0007.88	0002.86	-000.00
2014/06/28;13:37:04	0034.26	000.247	-000.00	0000.05	-000.10	0000.02	-000.45	0007.97	0002.86	-000.00
2014/06/28;13:37:04	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.87	0002.83	-000.00
2014/06/28;13:37:05	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.45	0007.88	0002.80	-000.00
2014/06/28;13:37:05	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.45	0007.88	0002.80	-000.00
2014/06/28;13:37:05	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.89	0002.81	-000.00
2014/06/28;13:37:06	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0008.01	0002.81	-000.00
2014/06/28;13:37:06	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.89	0002.81	-000.00
2014/06/28;13:37:06	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.90	0002.81	-000.00
2014/06/28;13:37:07	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.90	0002.82	-000.00
2014/06/28;13:37:07	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.85	0002.82	-000.00
2014/06/28;13:37:07	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.90	0002.81	-000.00
2014/06/28;13:37:07	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.79	0002.79	-000.00
2014/06/28;13:37:08	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.79	0002.78	-000.00
2014/06/28;13:37:08	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.77	0002.79	-000.00
2014/06/28;13:37:08	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.71	0002.79	-000.00
2014/06/28;13:37:08	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.44	0007.70	0002.79	-000.00
2014/06/28;13:37:09	0034.27	000.247	-000.00	0000.05	-000.10	0000.02	-000.45	0007.73	0002.78	-000.00
2014/06/28;13:37:09	0034.27	000.248	-000.00	0000.05	-000.10	0000.02	-000.45	0007.73	0002.76	-000.00
2014/06/28;13:37:09	0034.28	000.248	-000.00	0000.05	-000.10	0000.02	-000.45	0007.92	0002.76	-000.00
